procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91784 173384  24768 170852    0    0     0    20   73   86  0  0 100  0  0 2020-05-25 16:18:40
 0  0  91784 173384  24768 170852    0    0     0     0   33   40  0  0 100  0  0 2020-05-25 16:18:41
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91784 173384  24768 170852    0    0     0     0   33   39  0  0 100  0  0 2020-05-25 16:18:42
 0  0  91784 173384  24768 170852    0    0     0    12   87  111  0  0 100  0  0 2020-05-25 16:18:43
 0  0  91784 173384  24768 170852    0    0     0     0   36   50  0  0 100  0  0 2020-05-25 16:18:44
 0  0  91784 173384  24776 170852    0    0     0    12   68   73  0  1 99  0  0 2020-05-25 16:18:45
 0  0  91784 173384  24776 170852    0    0     0     0   32   40  0  1 99  0  0 2020-05-25 16:18:46
 0  0  91784 173384  24776 170852    0    0     0     0   32   41  0  0 100  0  0 2020-05-25 16:18:47
 0  0  91784 173384  24776 170852    0    0     0     0   67   58  0  1 99  0  0 2020-05-25 16:18:48
 0  0  91784 173384  24776 170852    0    0     0     0   31   40  0  1 99  0  0 2020-05-25 16:18:49
 0  0  91784 173384  24784 170852    0    0     0    12   79   98  0  0 99  1  0 2020-05-25 16:18:50
 0  0  91784 173384  24784 170852    0    0     0     0   30   33  0  0 100  0  0 2020-05-25 16:18:51
 0  0  91784 173384  24784 170852    0    0     0     0   34   43  0  0 100  0  0 2020-05-25 16:18:52
 0  0  91784 173384  24784 170852    0    0     0     0   86  100  0  2 98  0  0 2020-05-25 16:18:53
 0  0  91784 173384  24784 170852    0    0     0     0   35   41  0  1 99  0  0 2020-05-25 16:18:54
 0  0  91784 173384  24792 170852    0    0     0    12   66   74  0  0 100  0  0 2020-05-25 16:18:55
 0  0  91784 173384  24792 170852    0    0     0     0   16   36  0  1 99  0  0 2020-05-25 16:18:56
 0  0  91784 173384  24792 170852    0    0     0     0   41   42  0  0 100  0  0 2020-05-25 16:18:57
