procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 158605  24196 181814    0    0     0     0   50   49  0  0 100  0  0 2020-05-25 19:41:04
 0  0  91819 158605  24125 181814    0    0     0     0  161  148  1  0 99  0  0 2020-05-25 19:41:05
 0  0  91819 158457  24125 181814    0    0     0    12  267  265 17  4 79  0  0 2020-05-25 19:41:06
 0  0  91819 158380  24125 181814    0    0     0     0  239  199  0  1 99  0  0 2020-05-25 19:41:07
 0  0  91819 158457  24125 181814    0    0     0     0  195  176  0  3 97  0  0 2020-05-25 19:41:08
 0  0  91819 158457  24125 181852    0    0     0     0  135  103  0  1 99  0  0 2020-05-25 19:41:09
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 158605  24084 181852    0    0     0    12  210  200  0  1 99  0  0 2020-05-25 19:41:10
 1  0  91819 158659  24084 181852    0    0     0     0  494  467 30  1 67  0  0 2020-05-25 19:41:11
 0  0  91819 158659  24084 181852    0    0     0     0  130   91 53  2 45  0  0 2020-05-25 19:41:12
 0  0  91819 158659  24084 181852    0    0     0     0   30   41  0  0 100  0  0 2020-05-25 19:41:13
 0  0  91819 158605  23870 181852    0    0     0    16  167  161  0  0 99  1  0 2020-05-25 19:41:14
 0  0  91819 158674  23870 181852    0    0     0     0  176  142  0  1 99  0  0 2020-05-25 19:41:15
 0  0  91819 163574  23870 181800    0    0     0     0   63   60  0  1 99  0  0 2020-05-25 19:41:16
 0  0  91819 158659  23870 181800    0    0     0     0  314  263  1  2 97  0  0 2020-05-25 19:41:17
 0  0  91819 158443  24186 181852    0    0     0    28  332  310  0  1 99  0  0 2020-05-25 19:41:18
 0  0  91819 158674  24186 181852    0    0     0     0   50   65  0  0 100  0  0 2020-05-25 19:41:19
 0  0  91819 158674  24186 181852    0    0     0     0  104   93  0  0 100  0  0 2020-05-25 19:41:20
 0  0  91819 158449  24186 181852    0    0     0     0  293  266  0  1 99  0  0 2020-05-25 19:41:21
